Festival,date
New Year,01/01/2015
Holi,06/03/2015
Id,10/07/2015
Dusshera,22/10/2015
Diwali,11/11/2015
Christmas,25/12/2015
Dhanteras,09/11/2015
Chath Pooja,17/11/2015
New Year,01/01/2016
Holi,24/03/2016
Id,06/07/2016
Dusshera,11/10/2016
Diwali,30/11/2016
Christmas,25/12/2016
Dhanteras,28/10/2016
Chath Pooja,6/11/2016
New Year,01/01/2017
Holi,13/03/2017
Id,26/07/2017
Dusshera,30/09/2017
Diwali,19/10/2017
Christmas,25/12/2017
Dhanteras,17/10/2017
Chath Pooja,26/10/2017
New Year,01/01/2018
Holi,02/03/2018
Id,16/06/2018
Dusshera,19/10/2018
Diwali,07/11/2018
Christmas,25/12/2018
Dhanteras,05/11/2018
Chath Pooja,13/11/2018
New Year,01/01/2019
Holi,21/03/2019
Id,05/06/2019
Dusshera,08/10/2019
Diwali,27/10/2019
Christmas,25/12/2019
Dhanteras,25/10/2019
Chath Pooja,2/11/2019
New Year,01/01/2020
Holi,10/03/2020
Id,25/05/2020
Dusshera,25/10/2020
Diwali,14/11/2020
Christmas,25/12/2020
Dhanteras,13/11/2020
Chath Pooja,20/11/2020
New Year,01/01/2021
Holi,29/03/2021
Id,20/07/2021
Dusshera,15/10/2021
Diwali,4/11/2021
Christmas,25/12/2021
Dhanteras,2/11/2021
Chath Pooja,10/11/2021
New Year,01/01/2022
Holi,18/03/2022
Id,10/07/2022
Dusshera,5/10/2022
Diwali,24/10/2022
Christmas,25/12/2022
Dhanteras,23/10/2022
Chath Pooja,30/10/2022
New Year,01/01/2023
Holi,08/03/2023
Id,29/06/2023
Dusshera,24/10/2023
Diwali,12/11/2023
Christmas,25/12/2023
Dhanteras,10/11/2023
Chath Pooja,19/11/2023
New Year,01/01/2024
Holi,25/03/2024
Id,17/06/2024
Dusshera,12/10/2024
Dhanteras,29/10/2024
Diwali,01/11/2024
Chath Pooja,07/11/2024
Christmas,25/12/2024
